website,brand,quantity,price,liter,detail,last
Auchan,Super Bock,30x0.25l,"13,59€","1,81€/L",https://www.auchan.pt//pt/bebidas-e-garrafeira/cervejas-e-sidras/cerveja-nacional/cerveja-super-bock-branca-30x0.25l/2471208.html, 08/01/2024 15:00:28
Auchan,Super Bock,30x0.20l,"11,59€","1,93€/L",https://www.auchan.pt//pt/bebidas-e-garrafeira/cervejas-e-sidras/cerveja-nacional/cerveja-super-bock-30x0.20l/3500078.html,
Auchan,Super Bock,15x0.20l,"5,99€",2€/L,https://www.auchan.pt//pt/bebidas-e-garrafeira/cervejas-e-sidras/cerveja-nacional/cerveja-super-bock-mini-15x0.20l/910128.html,
Auchan,Super Bock,24x0.20l,"10,49€","2,19€/L",https://www.auchan.pt//pt/bebidas-e-garrafeira/cervejas-e-sidras/cerveja-nacional/cerveja-super-bock-mini-24x0.20l/910123.html,
Auchan,Super Bock,6x0.20l,"3,29€","2,74€/L",https://www.auchan.pt//pt/bebidas-e-garrafeira/cervejas-e-sidras/cerveja-nacional/cerveja-super-bock-mini-6x0.20l/2739708.html,
Auchan,Super Bock,10x0.20l,"5,00€","2,5€/L",https://www.auchan.pt//pt/bebidas-e-garrafeira/cervejas-e-sidras/cerveja-nacional/cerveja-super-bock-10x0.20-l/2168775.html,
Auchan,Super Bock,12x0.33l,"7,99€","2,02€/L",https://www.auchan.pt//pt/bebidas-e-garrafeira/cervejas-e-sidras/cerveja-nacional/cerveja-branca-super-bock-caixa-12x0.33l/3617036.html,
Auchan,Super Bock,24x0.33l,"19,99€","2,52€/L",https://www.auchan.pt//pt/bebidas-e-garrafeira/cervejas-e-sidras/cerveja-nacional/cerveja-super-bock-branca-24x0.33l/759914.html,
Auchan,Super Bock,24x0.25l,"10,49€","1,75€/L",https://www.auchan.pt//pt/bebidas-e-garrafeira/cervejas-e-sidras/cerveja-nacional/cerveja-branca-super-bock-24x0.25l/3701915.html,
Auchan,Sagres,35x0.25l,"15,99€","1,83€/L",https://www.auchan.pt//pt/bebidas-e-garrafeira/cervejas-e-sidras/cerveja-nacional/cerveja-sagres-branca-35x0.25l/3627750.html,
Auchan,Sagres,24x0.25l,"11,49€","1,92€/L",https://www.auchan.pt//pt/bebidas-e-garrafeira/cervejas-e-sidras/cerveja-nacional/cerveja-sagres-branca-24x0.25l/3459495.html,
Auchan,Sagres,15x0.25l,"7,99€","2,13€/L",https://www.auchan.pt//pt/bebidas-e-garrafeira/cervejas-e-sidras/cerveja-nacional/cerveja-sagres-branca-15x0.25l/3459440.html,
Auchan,Sagres,10x0.25l,"5,39€","2,16€/L",https://www.auchan.pt//pt/bebidas-e-garrafeira/cervejas-e-sidras/cerveja-nacional/cerveja-sagres-branca-10x0.25l/3468579.html,
Auchan,Sagres,6x0.25l,"3,59€","2,39€/L",https://www.auchan.pt//pt/bebidas-e-garrafeira/cervejas-e-sidras/cerveja-nacional/cerveja-sagres-branca-6x0.25l/3468631.html,
Auchan,Sagres,6x0.33l,"5,59€","2,82€/L",https://www.auchan.pt//pt/bebidas-e-garrafeira/cervejas-e-sidras/cerveja-nacional/cerveja-sagres-branca-6x0.33l/2403249.html,
Auchan,Sagres,30x0.25l,"13,79€","1,84€/L",https://www.auchan.pt//pt/bebidas-e-garrafeira/cervejas-e-sidras/cerveja-nacional/cerveja-sagres-branca-30x0.25l/2112285.html,
Auchan,Sagres,24x0.33l,"21,99€","2,78€/L",https://www.auchan.pt//pt/bebidas-e-garrafeira/cervejas-e-sidras/cerveja-nacional/cerveja-sagres-branca-24x0.33l/879031.html,
